,Date,Sum_GAP,Sum_Others,Sum_Kitchen,Sum_Laundry,Sum_Heater_AC,forecastAC,forecastK,forecastL,forecastTotal,OnlyforecastAC,OnlyforecastK,OnlyforecastL,OnlyforecastTotal
58,27/2/2007,8635.2,6397.2,0,314,1924,6497.35124,943.0502643,2674.892425,25386.79974,NA,NA,NA,NA
59,28/2/2007,8679.566667,6366.566667,0,340,1973,6426.495216,1359.620133,3115.946218,25625.87898,NA,NA,NA,NA
60,1/3/2007,8626.066667,6330.066667,0,316,1980,5794.42779,928.6882268,1689.764455,22919.7002,NA,NA,NA,NA
61,2/3/2007,8594.8,6285.8,0,340,1969,7124.416734,1121.455914,2225.618283,24943.99785,NA,NA,NA,NA
62,3/3/2007,13652.03333,8708.033333,0,347,4597,8190.382166,2383.330017,2868.198872,29979.27478,NA,NA,NA,NA
63,4/3/2007,34845,15250,1476,8711,9408,6291.976096,2637.748985,3572.34782,30119.57094,NA,NA,NA,NA
64,5/3/2007,44338.86667,16476.86667,5727,12109,10026,6494.000187,1049.309538,1957.509649,24175.06343,NA,NA,NA,NA
65,6/3/2007,20775,14335,0,1740,4700,7082.448256,1167.495533,2928.243601,26825.71497,NA,NA,NA,NA
66,7/3/2007,39586.76667,18236.76667,1076,4761,15513,7211.175216,1610.771941,3371.347843,27496.11379,NA,NA,NA,NA
67,8/3/2007,26202.2,13982.2,2180,3385,6655,6762.165548,1203.134734,1942.640366,25172.76473,NA,NA,NA,NA
68,9/3/2007,21210.2,11141.2,1093,345,8631,8256.050826,1415.532683,2471.530591,27525.65333,NA,NA,NA,NA
69,10/3/2007,41411.86667,20880.86667,4130,5422,10979,9464.540326,2693.174497,3102.945586,32830.73196,NA,NA,NA,NA
70,11/3/2007,58010.6,40280.6,4810,3420,9500,7685.529271,2959.355876,3792.05124,33178.74899,NA,NA,NA,NA
71,12/3/2007,32511.13333,15914.13333,1403,2841,12353,7982.534205,1378.586154,2158.693319,27377.87891,NA,NA,NA,NA
72,13/3/2007,21502.4,10970.4,1350,3859,5323,8640.742058,1500.316327,3107.895994,30107.5935,NA,NA,NA,NA
73,14/3/2007,29889.4,17317.4,3485,480,8607,8813.674913,1943.031458,3526.97137,30792.80198,NA,NA,NA,NA
74,15/3/2007,31413.56667,17114.56667,0,3263,11036,8383.444173,1530.798347,2072.284772,28421.75435,NA,NA,NA,NA
75,16/3/2007,28367.56667,17287.56667,1106,4604,5370,9871.244449,1734.684564,2573.810287,30667.29938,NA,NA,NA,NA
76,17/3/2007,33801.5,18959.5,2208,359,12275,11049.75225,3000.06238,3177.040953,35809.26558,NA,NA,NA,NA
77,18/3/2007,39517.43333,19728.43333,6564,7369,5856,9218.195223,3250.432267,3837.694415,35943.16669,NA,NA,NA,NA
78,19/3/2007,35875.3,17423.3,1648,2686,14118,9441.742743,1650.545726,2176.139446,29882.69284,NA,NA,NA,NA
79,20/3/2007,34770.46667,16933.46667,3745,2837,11255,10007.50586,1750.129337,3097.881313,32313.20899,NA,NA,NA,NA
80,21/3/2007,35701.53333,17368.53333,1865,4133,12335,10071.15008,2167.973081,3490.659906,32666.40852,NA,NA,NA,NA
81,22/3/2007,24249.63333,12698.63333,353,736,10462,9517.096028,1728.473895,2011.205698,29937.38817,NA,NA,NA,NA
82,23/3/2007,21816.8,11543.8,1127,777,8369,10868.95995,1903.050607,2489.788242,31805.97238,NA,NA,NA,NA
83,24/3/2007,49473.83333,23587.83333,3707,5797,16382,11901.90019,3137.443813,3072.121794,36558.94288,NA,NA,NA,NA
84,25/3/2007,55602.06667,38014.06667,4630,3600,9358,9917.636852,3355.535396,3714.068947,36298.60201,NA,NA,NA,NA
85,26/3/2007,23601.36667,13073.36667,1088,344,9096,9983.796377,1722.467466,2036.067671,29845.13408,NA,NA,NA,NA
86,27/3/2007,18419,11703,0,3019,3697,10389.86997,1788.362599,2943.619672,31889.98889,NA,NA,NA,NA
87,28/3/2007,38898.3,15361.3,1122,8527,13888,10293.79006,2172.408433,3324.393831,31870.43759,NA,NA,NA,NA
88,29/3/2007,26506.76667,14160.76667,1162,460,10724,9582.1005,1699.397563,1834.989549,28786.56854,NA,NA,NA,NA
89,30/3/2007,23373.23333,13594.23333,1094,468,8217,10780.37239,1841.138866,2305.494432,30322.55212,NA,NA,NA,NA
90,31/3/2007,58491.83333,30482.83333,2620,7707,17682,11665.53228,3043.753803,2881.400552,34768.83079,NA,NA,NA,NA
91,1/4/2007,46432.53333,16893.53333,4629,5401,19509,9540.86937,3231.492385,3518.319778,34230.66241,NA,NA,NA,NA
92,2/4/2007,32679.63333,13313.63333,1755,970,16641,9475.373525,1569.848558,1836.423164,27530.48057,NA,NA,NA,NA
93,3/4/2007,27380.33333,15071.33333,3630,1042,7637,9759.692412,1609.276904,2740.941873,29361.29449,NA,NA,NA,NA
94,4/4/2007,34197.8,15595.8,3434,420,14748,9552.71143,1969.273698,3119.282954,29161.27716,NA,NA,NA,NA
95,5/4/2007,30734.63333,14848.63333,1086,4277,10523,8741.731382,1474.913297,1627.804385,25930.80684,NA,NA,NA,NA
96,6/4/2007,26685.66667,12053.66667,0,5466,9166,9852.895183,1598.256,2096.383417,27353.7889,NA,NA,NA,NA
97,7/4/2007,25898.73333,15737.73333,1127,3111,5923,10663.52929,2785.640985,2670.342082,31719.91137,NA,NA,NA,NA
98,8/4/2007,26813.6,22783.6,0,485,3545,8477.165914,2961.499039,3305.170059,31133.25954,NA,NA,NA,NA
99,9/4/2007,16682,9700,2667,514,3801,8362.896754,1291.464921,1620.969629,24414.75073,NA,NA,NA,NA
100,10/4/2007,12956.06667,9433.066667,209,742,2572,8611.346033,1326.091294,2522.959998,26255.60897,NA,NA,NA,NA
101,11/4/2007,14791.36667,7258.366667,0,1112,6421,8381.265647,1684.927381,2898.594215,26092.0258,NA,NA,NA,NA
102,12/4/2007,8961.766667,6602.766667,0,541,1818,7559.726843,1193.053372,1404.333026,22922.27025,NA,NA,NA,NA
103,13/4/2007,9183.7,6637.7,0,558,1988,8672.559242,1322.486832,1870.209768,24428.07268,NA,NA,NA,NA
104,14/4/2007,9237.8,6651.8,0,578,2008,9496.702513,2519.474772,2441.750251,28896.93444,NA,NA,NA,NA
105,15/4/2007,12102.73333,8183.733333,0,1026,2893,7335.236558,2708.30622,3074.688038,28430.78766,NA,NA,NA,NA
106,16/4/2007,15873.16667,8960.166667,952,1305,4656,7256.740907,1054.425154,1389.400067,21848.46503,NA,NA,NA,NA
107,17/4/2007,20395.56667,12275.56667,1532,389,6199,7551.271092,1108.14584,2291.40024,23840.65355,NA,NA,NA,NA
108,18/4/2007,16637.43333,11273.43333,1579,355,3430,7376.955086,1488.733742,2668.444541,23840.20809,NA,NA,NA,NA
109,19/4/2007,17144.3,9058.3,733,1605,5748,6620.184521,1020.943074,1177.292426,20843.62846,NA,NA,NA,NA
110,20/4/2007,13709.66667,8781.666667,1069,360,3499,7806.051889,1176.427245,1648.259007,22530.98562,NA,NA,NA,NA
111,21/4/2007,27894.26667,9727.266667,6575,463,11129,8710.699595,2401.035842,2227.122413,27188.22005,NA,NA,NA,NA
112,22/4/2007,37228.56667,19575.56667,4264,2287,11102,6636.347213,2618.632949,2869.827152,26915.78404,NA,NA,NA,NA
113,23/4/2007,17576.1,9663.1,1402,506,6005,6650.648301,994.2165944,1196.908856,20531.08959,NA,NA,NA,NA
114,24/4/2007,17201.66667,8869.666667,1125,527,6680,7042.665084,1077.641279,2113.97839,22721.98344,NA,NA,NA,NA
115,25/4/2007,21069.36667,10788.36667,0,1469,8812,6969.464707,1487.706634,2508.819243,22921.39709,NA,NA,NA,NA
116,26/4/2007,21257.76667,10925.76667,1324,1845,7163,6316.31225,1048.703143,1038.143238,20124.43744,NA,NA,NA,NA
117,27/4/2007,18238.86667,11165.86667,1772,545,4756,7607.112196,1231.83102,1532.139302,22009.74508,NA,NA,NA,NA
118,28/4/2007,378.9666667,360.9666667,0,18,0,8616.764531,2482.505713,2136.379832,26861.77527,NA,NA,NA,NA
119,30/4/2007,7013.7,4168.7,1214,500,1131,6761.760591,1121.494744,1162.754499,20578.49309,NA,NA,NA,NA
120,1/5/2007,27730.96667,14184.96667,4005,995,8546,7251.169626,1223.96268,2110.252214,22945.12342,NA,NA,NA,NA
121,2/5/2007,16724.76667,11473.76667,7,1490,3754,7270.168142,1650.110375,2536.318331,23310.50005,NA,NA,NA,NA
122,3/5/2007,18170.63333,6703.633333,1906,1725,7836,6702.719273,1224.006824,1097.132935,20667.93923,NA,NA,NA,NA
123,4/5/2007,16635.46667,9848.466667,2259,538,3990,8071.475757,1416.691968,1622.318023,22694.27771,NA,NA,NA,NA
124,5/5/2007,26050.86667,9341.866667,2913,2493,11303,9150.161527,2673.485998,2256.85795,27672.18729,NA,NA,NA,NA
125,6/5/2007,35035.06667,20776.06667,3215,949,10095,7238.635417,2917.818548,2955.819446,27698.84503,NA,NA,NA,NA
126,7/5/2007,27394.4,12080.4,946,4935,9433,7402.287619,1314.357295,1338.796126,21588.42074,NA,NA,NA,NA
127,8/5/2007,29821.53333,14452.53333,4581,2011,8777,7928.056362,1412.737632,2310.414971,24025.60234,NA,NA,NA,NA
128,9/5/2007,27762.26667,9639.266667,3018,5631,9474,7971.067434,1831.656249,2757.458063,24440.30589,NA,NA,NA,NA
129,10/5/2007,11798.06667,7057.066667,946,534,3261,7414.870568,1395.419371,1335.643942,21824.83373,NA,NA,NA,NA
130,11/5/2007,16319.23333,8431.233333,926,491,6471,8781.923057,1575.361616,1874.202567,23855.30579,NA,NA,NA,NA
131,12/5/2007,24026.1,10296.1,2247,1075,10408,9845.98542,2817.14888,2517.807688,28814.01637,NA,NA,NA,NA
132,13/5/2007,27245.63333,12261.63333,3612,2414,8958,7907.194334,3044.599844,3221.30676,28798.14026,NA,NA,NA,NA
133,14/5/2007,24463.03333,13353.03333,3176,2417,5517,8031.462923,1422.805774,1604.173031,22622.24824,NA,NA,NA,NA
134,15/5/2007,15073.2,9347.2,0,408,5318,8506.495386,1501.850487,2571.017018,24971.85098,NA,NA,NA,NA
135,16/5/2007,28215.73333,11169.73333,2213,5756,9077,8488.418353,1900.893527,3008.71049,25278.11679,NA,NA,NA,NA
136,17/5/2007,20530.26667,9756.266667,1014,2073,7687,7862.002844,1444.707556,1573.167199,22535.02591,NA,NA,NA,NA
137,18/5/2007,27192.16667,11893.16667,3270,3913,8116,9151.127315,1605.086184,2093.914361,24420.78579,NA,NA,NA,NA
138,19/5/2007,23824.03333,11589.03333,4683,530,7022,10131.14685,2828.135921,2716.01873,29220.15941,NA,NA,NA,NA
139,20/5/2007,32805.46667,18041.46667,5420,1733,7611,8103.934225,3038.087117,3394.807555,29033.13088,NA,NA,NA,NA
140,21/5/2007,18667.7,9139.7,0,468,9060,8137.243542,1400.40385,1750.309275,22677.36902,NA,NA,NA,NA
141,22/5/2007,18880.86667,9999.866667,931,3966,3984,8520.684262,1465.494869,2687.751472,24841.70897,NA,NA,NA,NA
142,23/5/2007,24415.6,11548.6,956,3792,8119,8412.308975,1852.740623,3094.669533,24961.82231,NA,NA,NA,NA
143,24/5/2007,19239.8,9422.8,955,4116,4746,7698.789887,1387.169023,1627.670718,22034.22243,NA,NA,NA,NA
144,25/5/2007,26903.66667,11718.66667,8060,586,6539,8905.835677,1540.71345,2116.988055,23740.66719,NA,NA,NA,NA
145,26/5/2007,25204.13333,11449.13333,2373,2754,8628,9810.515052,2759.549741,2708.388393,28369.37765,NA,NA,NA,NA
146,27/5/2007,35896.8,15552.8,4366,5534,10444,7716.253974,2967.90567,3357.875428,28023.61747,NA,NA,NA,NA
147,28/5/2007,27291.13333,12678.13333,4554,473,9586,7692.158539,1331.171225,1686.113018,21524.07247,NA,NA,NA,NA
148,29/5/2007,17689,11450,0,1907,4332,8028.952535,1399.611811,2598.906811,23562.25314,NA,NA,NA,NA
149,30/5/2007,26831.1,10829.1,2250,5948,7804,7885.534141,1792.447625,2984.298093,23575.06938,NA,NA,NA,NA
150,31/5/2007,15642.5,10678.5,935,477,3552,7149.12774,1334.390344,1499.314958,20561.84422,NA,NA,NA,NA
151,1/6/2007,17415.3,9268.3,0,483,7664,8345.683349,1497.053371,1974.515583,22205.59522,NA,NA,NA,NA
152,2/6/2007,24739.36667,11885.36667,3971,1250,7633,9252.190636,2726.249299,2555.888245,26795.23958,NA,NA,NA,NA
153,3/6/2007,35133.76667,14285.76667,4985,7529,8334,7171.674956,2945.80933,3199.549104,26434.15102,NA,NA,NA,NA
154,4/6/2007,15193.63333,8239.633333,1585,836,4533,7172.527581,1320.704404,1526.163224,19942.53269,NA,NA,NA,NA
155,5/6/2007,24314.86667,12355.86667,4484,1027,6448,7544.459152,1400.769865,2441.426913,22010.82915,NA,NA,NA,NA
156,6/6/2007,28227.3,12406.3,3329,829,11663,7445.080529,1804.796635,2833.16527,22074.32694,NA,NA,NA,NA
157,7/6/2007,16416.7,10773.7,985,699,3959,6760.086514,1357.079674,1358.089927,19130.20981,NA,NA,NA,NA
158,8/6/2007,35800.76667,10181.76667,2799,11440,11380,8013.694201,1528.839684,1846.351579,20858.89657,NA,NA,NA,NA
159,9/6/2007,17663.56667,9625.566667,852,596,6590,8981.001978,2765.531389,2443.451696,25546.31594,NA,NA,NA,NA
160,10/6/2007,22346.86667,10237.86667,4202,1924,5983,6963.035454,2990.672812,3104.954067,25292.54482,NA,NA,NA,NA
161,11/6/2007,13244.23333,7429.233333,0,487,5328,7026.131194,1368.975049,1450.921307,18914.2719,NA,NA,NA,NA
162,12/6/2007,15312.76667,9057.766667,1882,475,3898,7457.945846,1450.074108,2386.41393,21098.30711,NA,NA,NA,NA
163,13/6/2007,15454.53333,8424.533333,957,857,5216,7414.093312,1852.627574,2798.605429,21276.2837,NA,NA,NA,NA
164,14/6/2007,20984.73333,8461.733333,3322,2147,7054,6778.383901,1400.866727,1343.55784,18441.81615,NA,NA,NA,NA
165,15/6/2007,16493.4,5666.4,2269,4011,4547,8073.315619,1566.019945,1850.791914,20271.93856,NA,NA,NA,NA
166,16/6/2007,33629.36667,14734.36667,3289,4498,11108,9072.482124,2793.620681,2465.215755,25049.47536,NA,NA,NA,NA
167,17/6/2007,32451.5,14555.5,4124,5038,8734,7075.662205,3007.334424,3141.85216,24871.76757,NA,NA,NA,NA
168,18/6/2007,11307.9,6537.9,0,529,4241,7148.240341,1372.0842,1500.289308,18553.21385,NA,NA,NA,NA
169,19/6/2007,14039.33333,8174.333333,973,535,4357,7577.24484,1437.776302,2445.192055,20778.8447,NA,NA,NA,NA
170,20/6/2007,17904.76667,8449.766667,1761,2588,5106,7518.005283,1823.38916,2863.426927,20979.07431,NA,NA,NA,NA
171,21/6/2007,13449.1,6406.1,932,2400,3711,6854.402524,1353.516207,1410.845041,18146.89182,NA,NA,NA,NA
172,22/6/2007,9438.233333,5005.233333,0,951,3482,8109.361011,1499.778825,1916.856887,19959.3155,NA,NA,NA,NA
173,23/6/2007,7959.433333,4771.433333,0,786,2402,9057.24781,2708.12295,2526.362742,24699.76108,NA,NA,NA,NA
174,24/6/2007,11910.93333,7670.933333,0,791,3449,6998.94331,2902.634078,3194.478898,24466.74732,NA,NA,NA,NA
175,25/6/2007,17870.03333,7448.033333,1985,3621,4816,7001.23364,1248.65057,1540.984459,18076.39888,NA,NA,NA,NA
176,26/6/2007,15748.46667,8212.466667,971,1334,5231,7352.811946,1296.477289,2470.826063,20215.96551,NA,NA,NA,NA
177,27/6/2007,24680.43333,8356.433333,2603,6451,7270,7210.891255,1665.444156,2871.233861,20318.50474,NA,NA,NA,NA
178,28/6/2007,21590.63333,7681.633333,0,4368,9541,6461.403335,1180.494271,1398.493272,17379.98763,NA,NA,NA,NA
179,29/6/2007,21736.63333,9909.633333,4363,667,6797,7629.43473,1313.531104,1882.506771,19080.66189,NA,NA,NA,NA
180,30/6/2007,22255.23333,10038.23333,3049,792,8376,8491.565885,2510.725512,2468.7099,23707.31792,NA,NA,NA,NA
181,1/7/2007,17111.06667,10716.06667,969,736,4690,6350.880037,2696.324177,3112.782104,23361.88855,NA,NA,NA,NA
182,2/7/2007,16117.2,6373.2,1018,5281,3445,6276.293615,1035.758204,1435.077598,16863.84432,NA,NA,NA,NA
183,3/7/2007,17665.2,9289.2,467,3214,4695,6558.497112,1079.354106,2341.114103,18903.60725,NA,NA,NA,NA
184,4/7/2007,16723.5,6544.5,2329,2218,5632,6356.510848,1446.41055,2718.673231,18917.13229,NA,NA,NA,NA
185,5/7/2007,17621.5,9956.5,2922,770,3973,5557.831738,961.732062,1224.55749,15902.92355,NA,NA,NA,NA
186,6/7/2007,17825.4,7431.4,2826,3563,4005,6688.823752,1097.036119,1689.138592,17543.3142,NA,NA,NA,NA
187,7/7/2007,22636.76667,8415.766667,997,3047,10177,7527.019358,2298.247368,2258.261604,22126.66659,NA,NA,NA,NA
188,8/7/2007,18151.33333,8218.333333,1825,2831,5277,5376.099772,2489.313854,2887.945894,21755.92119,NA,NA,NA,NA
189,9/7/2007,19669.3,8766.3,923,594,9386,5305.206657,835.3251235,1198.808313,15250.95909,NA,NA,NA,NA
190,10/7/2007,15138.73333,8213.733333,67,2227,4631,5604.874843,886.2341623,2096.546652,17302.00185,NA,NA,NA,NA
191,11/7/2007,12039.2,5093.2,1015,647,5284,5433.590836,1260.946213,2469.037273,17344.19888,NA,NA,NA,NA
192,12/7/2007,17826.36667,7828.366667,1029,2550,6419,4677.953218,783.8653628,973.0919153,14374.66912,NA,NA,NA,NA
193,13/7/2007,13239.7,8179.7,0,633,4427,5863.087335,926.3149258,1439.008316,16073.8256,NA,NA,NA,NA
194,14/7/2007,21469.5,9122.5,3775,1968,6604,6764.980961,2133.844987,2012.479093,20727.63803,NA,NA,NA,NA
195,15/7/2007,15283.73333,8204.733333,862,632,5585,4685.507838,2330.061589,2649.299624,20436.26035,NA,NA,NA,NA
196,16/7/2007,14227.9,8526.9,830,695,4176,4691.790584,679.7570369,969.8001489,14016.48571,NA,NA,NA,NA
197,17/7/2007,11993.86667,7116.866667,848,694,3335,5072.191131,732.6429041,1879.339787,16155.24986,NA,NA,NA,NA
198,18/7/2007,12618.03333,6410.033333,909,671,4628,4982.931818,1107.448438,2265.416046,16284.33002,NA,NA,NA,NA
199,19/7/2007,11298.1,6397.1,1068,703,3130,4308.321528,628.4749442,784.4344149,13397.50264,NA,NA,NA,NA
200,20/7/2007,18507.03333,9213.033333,2111,2418,4765,5571.237347,767.0219061,1266.272282,15171.9849,NA,NA,NA,NA
201,21/7/2007,17670.8,8974.8,428,512,7756,6545.52654,1968.698006,1856.201182,19890.81161,NA,NA,NA,NA
202,22/7/2007,22929.56667,8139.566667,7091,2136,5563,4531.093822,2157.251372,2509.607709,19651.57054,NA,NA,NA,NA
203,23/7/2007,16516.96667,9634.966667,1747,1288,3847,4593.32354,497.6984552,846.4378971,13268.95541,NA,NA,NA,NA
204,24/7/2007,13754.73333,6548.733333,0,1607,5599,5019.123192,540.0531005,1771.702409,15428.35403,NA,NA,NA,NA
205,25/7/2007,7876,5392,0,151,2333,4963.589833,903.4185777,2172.595748,15560.61595,NA,NA,NA,NA
206,26/7/2007,15408.33333,6454.333333,975,3633,4346,4310.272351,412.533282,705.2738137,12659.26041,NA,NA,NA,NA
207,27/7/2007,20041.9,10998.9,1837,49,7157,5581.67901,539.1860577,1199.423824,14401.94777,NA,NA,NA,NA
208,28/7/2007,27031.03333,9300.033333,907,10265,6559,6551.694196,1729.514579,1800.190428,19072.86442,NA,NA,NA,NA
209,29/7/2007,5351.933333,4063.933333,0,0,1288,4520.668818,1907.821429,2462.898271,18771.44389,NA,NA,NA,NA
210,30/7/2007,7780.266667,5252.266667,0,0,2528,4554.833819,239.6876486,807.495786,12314.88309,NA,NA,NA,NA
211,31/7/2007,13538.86667,6686.866667,3277,0,3575,4942.323322,275.6857316,1739.057611,14391.67209,NA,NA,NA,NA
212,1/8/2007,17672.3,6277.3,1583,0,9812,4839.809497,635.439979,2144.898973,14436.28306,NA,NA,NA,NA
213,2/8/2007,16990.26667,9639.266667,482,0,6869,4132.722897,144.2017949,681.3465509,11446.28084,NA,NA,NA,NA
214,3/8/2007,17722.73333,7625.733333,958,0,9139,5345.708799,274.203495,1178.300075,13103.68172,NA,NA,NA,NA
